eid,First Name,Last Name,Gender,Department,Salary,E Mail,Date of Birth,Weight in Kgs.,Height in inches,Rating,Phone No. ,City,State,Zip
,,,,NULL,"$44,400 ",,,,,Average,,,,
,,,,Engineering,"$34,980 ",,,,,Good,,,,
,,,,Support,"$77,260 ",,,,,Average,,,,
,,,,Legal,"$117,940 ",,,,,Average,,,,
,,,,Legal,"$31,040 ",,,,,Good,,,,
,,,,NULL,"$109,140 ",,,,,Average,,,,
,,,,NULL,,,,,,Average,,,,
,,,,Services,"$96,370 ",,,,,Not Rated,,,,
,,,,Services,"$31,170 ",,,,,Average,,,,
,,,,Business Development,"$116,240 ",,,,,Average,,,,
,,,,Product Management,"$115,190 ",,,,,Very Poor,,,,
,,,,Training,"$79,570 ",,,,,Average,,,,
,,,,Training,"$95,680 ",,,,,Very Good,,,,
,,,,Accounting,"$107,110 ",,,,,Good,,,,
,,,,Sales,"$66,100 ",,,,,Poor,,,,
,,,,Legal,"$39,960 ",,,,,Average,,,,
,,,,NULL,"$111,850 ",,,,,Average,,,,
,,,,Business Development,"$29,890 ",,,,,Good,,,,
,,,,Marketing,"$48,170 ",,,,,Good,,,,
,,,,Services,"$99,200 ",,,,,Good,,,,
,,,,Legal,"$72,840 ",,,,,Average,,,,
,,,,Engineering,"$68,970 ",,,,,Average,,,,
,,,,Marketing,"$89,090 ",,,,,Good,,,,
,,,,Engineering,"$86,940 ",,,,,Poor,,,,
,,,,Business Development,"$118,450 ",,,,,Very Good,,,,
,,,,Product Management,"$80,360 ",,,,,Average,,,,
,,,,Marketing,"$104,770 ",,,,,Average,,,,
,,,,Accounting,"$70,440 ",,,,,Very Good,,,,
,,,,Support,"$56,900 ",,,,,Average,,,,
,,,,Human Resources,"$48,530 ",,,,,Very Good,,,,
,,,,Research and Development,,,,,,Average,,,,
,,,,Services,"$72,450 ",,,,,Not Rated,,,,
,,,,Business Development,"$34,500 ",,,,,Not Rated,,,,
,,,,Engineering,"$118,800 ",,,,,Very Good,,,,
,,,,Accounting,,,,,,Not Rated,,,,
,,,,Research and Development,"$115,080 ",,,,,Very Good,,,,
,,,,Sales,"$39,540 ",,,,,Average,,,,
,,,,Human Resources,"$110,770 ",,,,,Average,,,,
,,,,Training,,,,,,Good,,,,
,,,,Accounting,"$106,460 ",,,,,Poor,,,,
,,,,Support,"$94,530 ",,,,,Poor,,,,
,,,,Business Development,"$71,590 ",,,,,Poor,,,,
,,,,Marketing,"$104,900 ",,,,,Good,,,,
,,,,Engineering,"$81,790 ",,,,,Not Rated,,,,
,,,,Support,"$33,050 ",,,,,Average,,,,
,,,,Marketing,"$89,610 ",,,,,Very Good,,,,
,,,,Product Management,"$96,920 ",,,,,Very Poor,,,,
,,,,NULL,"$105,470 ",,,,,Not Rated,,,,
,,,,Accounting,"$98,400 ",,,,,Average,,,,
,,,,Accounting,,,,,,Very Good,,,,
,,,,Human Resources,"$50,020 ",,,,,Average,,,,
,,,,Training,"$71,210 ",,,,,Average,,,,
,,,,Engineering,"$53,180 ",,,,,Average,,,,
,,,,Human Resources,"$107,020 ",,,,,Average,,,,
,,,,Research and Development,"$58,400 ",,,,,Average,,,,
,,,,Accounting,"$49,000 ",,,,,Good,,,,
,,,,Services,"$85,530 ",,,,,Average,,,,
,,,,Training,"$53,950 ",,,,,Poor,,,,
,,,,Services,"$41,140 ",,,,,Average,,,,
,,,,Accounting,"$49,920 ",,,,,Average,,,,
,,,,Research and Development,"$39,700 ",,,,,Average,,,,
,,,,Sales,"$53,540 ",,,,,Poor,,,,
,,,,Marketing,"$43,900 ",,,,,Good,,,,
,,,,Legal,"$72,700 ",,,,,Not Rated,,,,
,,,,Human Resources,"$29,420 ",,,,,Average,,,,
,,,,Legal,"$58,280 ",,,,,Average,,,,
,,,,Research and Development,"$67,980 ",,,,,Average,,,,
,,,,Legal,"$49,760 ",,,,,Very Good,,,,
,,,,Services,"$69,910 ",,,,,Good,,,,
,,,,Training,"$112,370 ",,,,,Average,,,,
,,,,Legal,"$28,580 ",,,,,Average,,,,
,,,,Accounting,"$43,590 ",,,,,Poor,,,,
,,,,Training,"$88,330 ",,,,,Good,,,,
,,,,Training,"$78,840 ",,,,,Average,,,,
,,,,Human Resources,"$61,990 ",,,,,Not Rated,,,,
,,,,Services,"$77,100 ",,,,,Good,,,,
,,,,Marketing,"$66,020 ",,,,,Very Good,,,,
,,,,Marketing,,,,,,Very Poor,,,,
,,,,Support,"$70,930 ",,,,,Average,,,,
,,,,Legal,"$40,980 ",,,,,Very Poor,,,,
,,,,Marketing,"$48,980 ",,,,,Very Poor,,,,
,,,,Training,"$110,820 ",,,,,Good,,,,
,,,,Business Development,"$61,690 ",,,,,Good,,,,
,,,,NULL,"$51,170 ",,,,,Average,,,,
,,,,Support,"$104,800 ",,,,,Average,,,,
,,,,Accounting,"$56,280 ",,,,,Poor,,,,
,,,,Engineering,"$88,380 ",,,,,Good,,,,
,,,,Engineering,"$52,590 ",,,,,Good,,,,
,,,,Services,"$47,650 ",,,,,Poor,,,,
,,,,Sales,"$72,350 ",,,,,Good,,,,
,,,,Accounting,"$39,940 ",,,,,Average,,,,
,,,,Research and Development,"$28,130 ",,,,,Poor,,,,
,,,,Engineering,"$69,460 ",,,,,Very Good,,,,
,,,,Services,"$109,030 ",,,,,Very Good,,,,
,,,,Product Management,"$66,460 ",,,,,Average,,,,
,,,,Training,"$50,810 ",,,,,Not Rated,,,,
,,,,Training,,,,,,Good,,,,
,,,,Legal,"$114,510 ",,,,,Average,,,,
,,,,Business Development,"$86,230 ",,,,,Poor,,,,
,,,,Support,"$73,240 ",,,,,Average,,,,
,,,,Business Development,"$53,920 ",,,,,Poor,,,,
,,,,Engineering,"$113,690 ",,,,,Average,,,,
,,,,Business Development,"$101,790 ",,,,,Average,,,,
,,,,Engineering,"$38,930 ",,,,,Average,,,,
,,,,Human Resources,"$57,090 ",,,,,Very Poor,,,,
,,,,Product Management,"$106,170 ",,,,,Poor,,,,
,,,,Human Resources,"$59,550 ",,,,,Average,,,,
,,,,Product Management,"$89,960 ",,,,,Poor,,,,
,,,,Support,"$58,850 ",,,,,Poor,,,,
,,,,Product Management,"$68,200 ",,,,,Average,,,,
,,,,Marketing,"$90,130 ",,,,,Good,,,,
,,,,Services,"$45,060 ",,,,,Good,,,,
,,,,Product Management,"$66,370 ",,,,,Average,,,,
,,,,Services,"$85,880 ",,,,,Good,,,,
,,,,Accounting,,,,,,Poor,,,,
,,,,Support,"$59,260 ",,,,,Poor,,,,
,,,,Legal,"$61,790 ",,,,,Average,,,,
,,,,Training,"$48,180 ",,,,,Good,,,,
,,,,Product Management,"$74,800 ",,,,,Very Poor,,,,
,,,,Business Development,"$31,020 ",,,,,Average,,,,
,,,,Product Management,"$37,550 ",,,,,Average,,,,
,,,,Marketing,"$72,040 ",,,,,Good,,,,
,,,,Support,"$118,840 ",,,,,Not Rated,,,,
,,,,Human Resources,"$79,570 ",,,,,Average,,,,
,,,,Business Development,"$94,050 ",,,,,Not Rated,,,,
,,,,Product Management,"$81,260 ",,,,,Average,,,,
,,,,Support,"$36,710 ",,,,,Average,,,,
,,,,Sales,"$98,360 ",,,,,Very Poor,,,,
,,,,Human Resources,"$39,680 ",,,,,Poor,,,,
,,,,Sales,"$101,390 ",,,,,Good,,,,
,,,,Business Development,"$80,700 ",,,,,Good,,,,
,,,,Sales,"$78,020 ",,,,,Average,,,,
,,,,Support,"$115,490 ",,,,,Poor,,,,
,,,,NULL,,,,,,Average,,,,
,,,,Product Management,"$111,910 ",,,,,Good,,,,
,,,,Services,"$109,050 ",,,,,Average,,,,
,,,,Training,"$95,680 ",,,,,Average,,,,
,,,,Services,"$109,380 ",,,,,Average,,,,
,,,,Research and Development,"$69,710 ",,,,,Average,,,,
,,,,Support,"$30,000 ",,,,,Average,,,,
,,,,Legal,"$57,620 ",,,,,Very Poor,,,,
,,,,Human Resources,"$35,940 ",,,,,Poor,,,,
,,,,Training,"$101,190 ",,,,,Average,,,,
,,,,Legal,"$48,980 ",,,,,Very Good,,,,
,,,,Legal,"$115,840 ",,,,,Not Rated,,,,
,,,,Sales,,,,,,Very Poor,,,,
,,,,Accounting,"$45,450 ",,,,,Very Good,,,,
,,,,Support,"$54,140 ",,,,,Average,,,,
,,,,Human Resources,"$117,520 ",,,,,Average,,,,
,,,,Legal,,,,,,Average,,,,
,,,,Accounting,"$93,210 ",,,,,Poor,,,,
,,,,Support,"$104,470 ",,,,,Not Rated,,,,
,,,,Training,"$110,890 ",,,,,Poor,,,,
,,,,Research and Development,,,,,,Good,,,,
,,,,Training,"$96,660 ",,,,,Average,,,,
,,,,Services,"$118,360 ",,,,,Average,,,,
,,,,Support,"$88,030 ",,,,,Average,,,,
,,,,Product Management,"$87,810 ",,,,,Not Rated,,,,
,,,,Business Development,"$51,520 ",,,,,Average,,,,
,,,,Sales,"$60,260 ",,,,,Not Rated,,,,
,,,,Support,"$61,210 ",,,,,Average,,,,
,,,,Research and Development,"$52,750 ",,,,,Average,,,,
,,,,Product Management,"$47,270 ",,,,,Average,,,,
,,,,Sales,"$118,060 ",,,,,Good,,,,
,,,,Marketing,"$37,360 ",,,,,Average,,,,
,,,,Business Development,"$66,510 ",,,,,Average,,,,
,,,,Marketing,"$29,530 ",,,,,Very Poor,,,,
,,,,Research and Development,"$60,440 ",,,,,Very Good,,,,
,,,,Engineering,"$90,530 ",,,,,Very Poor,,,,
,,,,Training,"$67,950 ",,,,,Very Good,,,,
,,,,Accounting,"$105,120 ",,,,,Average,,,,
,,,,Training,"$60,570 ",,,,,Good,,,,
,,,,Training,"$119,110 ",,,,,Good,,,,
,,,,Services,"$104,770 ",,,,,Poor,,,,
,,,,Sales,"$70,360 ",,,,,Average,,,,
,,,,Support,"$45,110 ",,,,,Not Rated,,,,
,,,,Research and Development,,,,,,Very Poor,,,,
,,,,Research and Development,,,,,,Not Rated,,,,
,,,,Business Development,"$33,630 ",,,,,Poor,,,,
,,,,Training,"$53,870 ",,,,,Good,,,,
,,,,Engineering,"$111,190 ",,,,,Average,,,,
,,,,Legal,"$29,970 ",,,,,Average,,,,
,,,,Support,"$64,960 ",,,,,Average,,,,
,,,,Product Management,"$111,230 ",,,,,Average,,,,
,,,,Sales,"$99,530 ",,,,,Average,,,,
,,,,Business Development,"$90,880 ",,,,,Not Rated,,,,
,,,,Research and Development,"$35,980 ",,,,,Very Good,,,,
,,,,Business Development,"$72,500 ",,,,,Good,,,,
,,,,Marketing,"$65,700 ",,,,,Very Poor,,,,
,,,,Services,"$109,170 ",,,,,Good,,,,
,,,,Support,"$95,020 ",,,,,Average,,,,
,,,,Product Management,"$72,500 ",,,,,Poor,,,,
,,,,Product Management,"$87,290 ",,,,,Good,,,,
,,,,Engineering,"$97,110 ",,,,,Average,,,,
,,,,Research and Development,"$59,430 ",,,,,Average,,,,
,,,,Marketing,"$112,120 ",,,,,Average,,,,
,,,,Research and Development,"$28,160 ",,,,,Not Rated,,,,
,,,,Legal,"$75,870 ",,,,,Average,,,,
,,,,Support,"$93,270 ",,,,,Average,,,,
,,,,Training,"$42,730 ",,,,,Average,,,,
,,,,Services,"$80,610 ",,,,,Average,,,,
,,,,Services,"$69,060 ",,,,,Very Poor,,,,
,,,,Product Management,"$31,280 ",,,,,Average,,,,
,,,,Business Development,"$96,610 ",,,,,Very Good,,,,
,,,,Business Development,"$37,020 ",,,,,Average,,,,
,,,,Training,"$54,970 ",,,,,Average,,,,
,,,,Services,"$41,910 ",,,,,Poor,,,,
,,,,Support,"$116,970 ",,,,,Very Good,,,,
,,,,Support,"$88,030 ",,,,,Very Good,,,,
,,,,Human Resources,"$86,390 ",,,,,Good,,,,
,,,,Services,"$81,150 ",,,,,Not Rated,,,,
,,,,Accounting,"$71,820 ",,,,,Average,,,,
,,,,Research and Development,"$85,460 ",,,,,Average,,,,
,,,,Business Development,"$91,190 ",,,,,Poor,,,,
,,,,Support,"$93,160 ",,,,,Average,,,,
,,,,Marketing,"$110,950 ",,,,,Poor,,,,
,,,,Product Management,"$35,990 ",,,,,Average,,,,
,,,,Engineering,"$39,970 ",,,,,Average,,,,
,,,,Training,"$79,520 ",,,,,Average,,,,
,,,,Legal,"$52,120 ",,,,,Poor,,,,
,,,,Support,"$60,010 ",,,,,Average,,,,
,,,,Accounting,"$35,440 ",,,,,Good,,,,
,,,,Legal,"$56,370 ",,,,,Average,,,,
,,,,Legal,,,,,,Average,,,,
,,,,Legal,"$105,610 ",,,,,Poor,,,,
,,,,Accounting,"$113,280 ",,,,,Good,,,,
,,,,Engineering,"$41,980 ",,,,,Average,,,,
,,,,Business Development,"$103,670 ",,,,,Average,,,,
,,,,Services,"$89,690 ",,,,,Good,,,,
,,,,Legal,"$96,320 ",,,,,Not Rated,,,,
,,,,Research and Development,"$87,620 ",,,,,Good,,,,
,,,,Research and Development,"$48,250 ",,,,,Poor,,,,
,,,,Marketing,"$85,780 ",,,,,Poor,,,,
,,,,Human Resources,,,,,,Average,,,,
,,,,Sales,"$54,010 ",,,,,Poor,,,,
,,,,Research and Development,"$31,020 ",,,,,Average,,,,
,,,,Product Management,"$75,480 ",,,,,Average,,,,
,,,,Human Resources,"$93,500 ",,,,,Average,,,,
,,,,Services,"$98,630 ",,,,,Good,,,,
,,,,Services,"$76,390 ",,,,,Average,,,,
,,,,Marketing,"$68,010 ",,,,,Average,,,,
,,,,Human Resources,"$58,030 ",,,,,Good,,,,
,,,,Training,"$59,300 ",,,,,Good,,,,
,,,,Product Management,"$51,800 ",,,,,Average,,,,
,,,,Accounting,"$57,930 ",,,,,Very Good,,,,
,,,,Engineering,"$40,530 ",,,,,Average,,,,
,,,,Research and Development,"$48,290 ",,,,,Average,,,,
,,,,Human Resources,,,,,,Average,,,,
,,,,Support,"$63,720 ",,,,,Very Good,,,,
,,,,Sales,"$84,500 ",,,,,Average,,,,
,,,,Accounting,"$67,430 ",,,,,Average,,,,
,,,,Support,"$109,120 ",,,,,Not Rated,,,,
,,,,Business Development,"$69,760 ",,,,,Average,,,,
,,,,Services,"$45,600 ",,,,,Not Rated,,,,
,,,,Business Development,"$33,030 ",,,,,Good,,,,
,,,,Business Development,"$80,170 ",,,,,Average,,,,
,,,,Training,"$43,510 ",,,,,Average,,,,
,,,,Sales,"$49,390 ",,,,,Average,,,,
,,,,Research and Development,"$47,910 ",,,,,Average,,,,
,,,,Sales,"$35,740 ",,,,,Good,,,,
,,,,Support,"$42,240 ",,,,,Very Good,,,,
,,,,Services,"$117,150 ",,,,,Average,,,,
,,,,Engineering,"$36,540 ",,,,,Good,,,,
,,,,Research and Development,"$87,290 ",,,,,Good,,,,
,,,,Research and Development,"$85,720 ",,,,,Average,,,,
,,,,Engineering,"$34,620 ",,,,,Very Good,,,,
,,,,Training,"$62,690 ",,,,,Poor,,,,
,,,,Sales,"$101,390 ",,,,,Average,,,,
,,,,Research and Development,"$30,250 ",,,,,Average,,,,
,,,,Business Development,"$29,530 ",,,,,Not Rated,,,,
,,,,Business Development,"$103,160 ",,,,,Good,,,,
,,,,Legal,"$109,790 ",,,,,Average,,,,
,,,,Accounting,"$33,760 ",,,,,Average,,,,
,,,,Legal,"$36,740 ",,,,,Average,,,,
,,,,Product Management,"$111,910 ",,,,,Not Rated,,,,
,,,,Product Management,"$31,240 ",,,,,Poor,,,,
,,,,Legal,"$75,730 ",,,,,Not Rated,,,,
,,,,Engineering,"$50,860 ",,,,,Not Rated,,,,
,,,,Sales,"$99,530 ",,,,,Not Rated,,,,
,,,,Support,"$43,200 ",,,,,Very Good,,,,
,,,,Services,"$84,200 ",,,,,Good,,,,
,,,,Legal,"$95,980 ",,,,,Average,,,,
,,,,Business Development,"$69,190 ",,,,,Good,,,,
,,,,Product Management,"$65,920 ",,,,,Good,,,,
,,,,Legal,"$113,620 ",,,,,Poor,,,,
,,,,Sales,"$60,140 ",,,,,Average,,,,
,,,,Research and Development,"$92,450 ",,,,,Not Rated,,,,
,,,,Human Resources,"$34,650 ",,,,,Average,,,,
,,,,Services,"$84,740 ",,,,,Average,,,,
,,,,Business Development,"$88,360 ",,,,,Average,,,,
,,,,Services,"$116,220 ",,,,,Poor,,,,
,,,,Services,"$45,060 ",,,,,Average,,,,
,,,,Services,"$106,890 ",,,,,Average,,,,
,,,,Legal,"$28,480 ",,,,,Poor,,,,
,,,,Business Development,,,,,,Good,,,,
,,,,Marketing,"$107,440 ",,,,,Poor,,,,
,,,,Legal,"$57,620 ",,,,,Good,,,,
,,,,Human Resources,"$29,810 ",,,,,Average,,,,
,,,,Training,"$105,330 ",,,,,Poor,,,,
,,,,Legal,"$43,110 ",,,,,Average,,,,
,,,,Support,"$52,630 ",,,,,Average,,,,
,,,,Sales,"$46,350 ",,,,,Average,,,,
,,,,NULL,"$39,800 ",,,,,Good,,,,
,,,,Human Resources,"$108,170 ",,,,,Not Rated,,,,
,,,,Services,"$69,730 ",,,,,Very Poor,,,,
,,,,Product Management,"$110,200 ",,,,,Average,,,,
,,,,Legal,"$116,090 ",,,,,Not Rated,,,,
,,,,Business Development,"$52,140 ",,,,,Average,,,,
,,,,Engineering,"$32,810 ",,,,,Average,,,,
,,,,Sales,"$59,430 ",,,,,Average,,,,
,,,,Legal,"$46,990 ",,,,,Average,,,,
,,,,Sales,"$33,560 ",,,,,Average,,,,
,,,,Sales,"$33,890 ",,,,,Average,,,,
,,,,Training,"$51,740 ",,,,,Poor,,,,
,,,,Accounting,"$51,650 ",,,,,Good,,,,
,,,,Research and Development,"$115,980 ",,,,,Good,,,,
,,,,Sales,"$58,370 ",,,,,Good,,,,
,,,,Research and Development,"$59,430 ",,,,,Average,,,,
,,,,Product Management,"$106,670 ",,,,,Average,,,,
,,,,Accounting,"$44,850 ",,,,,Very Good,,,,
,,,,Accounting,"$75,600 ",,,,,Average,,,,
,,,,Product Management,"$69,120 ",,,,,Average,,,,
,,,,Human Resources,"$31,200 ",,,,,Very Poor,,,,
,,,,Services,"$42,160 ",,,,,Very Good,,,,
,,,,Services,"$110,830 ",,,,,Average,,,,
,,,,Marketing,"$83,180 ",,,,,Average,,,,
,,,,Research and Development,"$87,620 ",,,,,Very Good,,,,
,,,,Research and Development,"$46,750 ",,,,,Good,,,,
,,,,Business Development,"$78,540 ",,,,,Average,,,,
,,,,Human Resources,"$106,930 ",,,,,Very Poor,,,,
,,,,Research and Development,"$77,000 ",,,,,Average,,,,
,,,,Product Management,"$74,920 ",,,,,Average,,,,
,,,,Accounting,"$36,550 ",,,,,Average,,,,
,,,,Accounting,"$95,950 ",,,,,Average,,,,
,,,,Services,"$85,880 ",,,,,Very Good,,,,
,,,,Sales,"$77,910 ",,,,,Average,,,,
,,,,Human Resources,"$116,670 ",,,,,Average,,,,
,,,,Support,"$92,190 ",,,,,Not Rated,,,,
,,,,Support,"$71,920 ",,,,,Poor,,,,
,,,,Product Management,"$66,370 ",,,,,Average,,,,
,,,,Sales,"$39,340 ",,,,,Good,,,,
,,,,Marketing,,,,,,Average,,,,
,,,,Human Resources,"$103,490 ",,,,,Good,,,,
,,,,Legal,"$87,740 ",,,,,Average,,,,
,,,,Marketing,"$113,980 ",,,,,Poor,,,,
,,,,Sales,,,,,,Average,,,,
,,,,Engineering,"$41,600 ",,,,,Good,,,,
,,,,Accounting,"$76,300 ",,,,,Good,,,,
,,,,Engineering,"$114,470 ",,,,,Very Good,,,,
,,,,Marketing,"$31,050 ",,,,,Good,,,,
,,,,Training,"$76,620 ",,,,,Average,,,,
,,,,Engineering,"$76,190 ",,,,,Poor,,,,
,,,,Research and Development,"$50,450 ",,,,,Average,,,,
,,,,Services,"$29,330 ",,,,,Average,,,,
,,,,Marketing,"$76,930 ",,,,,Average,,,,
,,,,Human Resources,"$33,800 ",,,,,Average,,,,
,,,,Marketing,"$44,820 ",,,,,Average,,,,
,,,,Engineering,"$67,010 ",,,,,Good,,,,
,,,,Research and Development,"$84,310 ",,,,,Average,,,,
,,,,Legal,"$108,600 ",,,,,Very Good,,,,
,,,,Product Management,"$47,000 ",,,,,Good,,,,
,,,,Product Management,"$59,810 ",,,,,Average,,,,
,,,,Legal,"$90,340 ",,,,,Average,,,,
,,,,Training,"$41,600 ",,,,,Poor,,,,
,,,,Sales,"$72,350 ",,,,,Poor,,,,
,,,,Legal,"$64,270 ",,,,,Average,,,,
,,,,Accounting,"$103,990 ",,,,,Very Good,,,,
,,,,Sales,"$70,380 ",,,,,Good,,,,
,,,,Legal,"$89,020 ",,,,,Average,,,,
,,,,Legal,"$113,750 ",,,,,Average,,,,
,,,,Accounting,,,,,,Average,,,,
,,,,Engineering,"$32,720 ",,,,,Average,,,,
,,,,Services,"$61,920 ",,,,,Average,,,,
,,,,Marketing,"$74,600 ",,,,,Very Good,,,,
,,,,Training,"$38,030 ",,,,,Average,,,,
,,,,Services,"$30,940 ",,,,,Very Poor,,,,
,,,,Services,"$28,870 ",,,,,Average,,,,
,,,,Marketing,"$71,210 ",,,,,Very Good,,,,
,,,,Training,"$63,450 ",,,,,Good,,,,
,,,,Services,"$87,930 ",,,,,Very Poor,,,,
,,,,Research and Development,"$69,070 ",,,,,Average,,,,
,,,,Business Development,"$101,610 ",,,,,Average,,,,
,,,,Services,"$28,310 ",,,,,Average,,,,
,,,,Legal,"$89,840 ",,,,,Very Good,,,,
,,,,Support,"$96,250 ",,,,,Average,,,,
,,,,Product Management,"$112,460 ",,,,,Poor,,,,
,,,,Human Resources,"$115,440 ",,,,,Average,,,,
,,,,Training,"$33,920 ",,,,,Average,,,,
,,,,Support,"$46,280 ",,,,,Average,,,,
,,,,Support,"$58,940 ",,,,,Average,,,,
,,,,Marketing,"$118,980 ",,,,,Not Rated,,,,
,,,,Sales,"$96,750 ",,,,,Average,,,,
,,,,Legal,"$101,220 ",,,,,Good,,,,
,,,,Product Management,"$63,020 ",,,,,Average,,,,
,,,,Business Development,"$75,920 ",,,,,Good,,,,
,,,,Legal,"$93,080 ",,,,,Average,,,,
,,,,Sales,"$68,860 ",,,,,Good,,,,
,,,,Engineering,"$118,980 ",,,,,Poor,,,,
,,,,Legal,"$106,460 ",,,,,Good,,,,
,,,,Business Development,"$70,650 ",,,,,Good,,,,
,,,,NULL,"$101,120 ",,,,,Very Good,,,,
,,,,Sales,"$77,050 ",,,,,Good,,,,
,,,,Sales,"$41,930 ",,,,,Poor,,,,
,,,,Legal,"$89,360 ",,,,,Good,,,,
,,,,Legal,"$37,840 ",,,,,Poor,,,,
,,,,Business Development,"$89,160 ",,,,,Average,,,,
,,,,Training,"$74,110 ",,,,,Very Good,,,,
,,,,Services,"$31,630 ",,,,,Poor,,,,
,,,,Research and Development,"$40,910 ",,,,,Poor,,,,
,,,,Sales,"$32,190 ",,,,,Average,,,,
,,,,Human Resources,"$73,490 ",,,,,Poor,,,,
,,,,Product Management,"$52,220 ",,,,,Average,,,,
,,,,Support,"$68,900 ",,,,,Average,,,,
,,,,Sales,"$83,750 ",,,,,Average,,,,
,,,,Support,"$110,970 ",,,,,Not Rated,,,,
,,,,Business Development,"$49,520 ",,,,,Average,,,,
,,,,Business Development,"$86,560 ",,,,,Average,,,,
,,,,Support,"$35,830 ",,,,,Average,,,,
,,,,Support,"$53,910 ",,,,,Good,,,,
,,,,Engineering,"$109,870 ",,,,,Average,,,,
,,,,Engineering,"$61,620 ",,,,,Average,,,,
,,,,Human Resources,"$67,960 ",,,,,Average,,,,
,,,,Training,"$57,000 ",,,,,Very Poor,,,,
,,,,Sales,"$70,610 ",,,,,Average,,,,
,,,,Training,"$51,860 ",,,,,Good,,,,
,,,,Engineering,"$60,130 ",,,,,Average,,,,
,,,,Research and Development,"$72,040 ",,,,,Poor,,,,
,,,,Product Management,"$108,450 ",,,,,Good,,,,
,,,,Marketing,"$58,260 ",,,,,Average,,,,
,,,,NULL,"$112,650 ",,,,,Average,,,,
,,,,Human Resources,"$106,930 ",,,,,Average,,,,
,,,,Research and Development,"$70,020 ",,,,,Average,,,,
,,,,Engineering,,,,,,Good,,,,
,,,,Human Resources,"$35,670 ",,,,,Average,,,,
,,,,Sales,,,,,,Average,,,,
,,,,Accounting,"$67,630 ",,,,,Average,,,,
,,,,Human Resources,"$82,300 ",,,,,Not Rated,,,,
,,,,Business Development,"$114,870 ",,,,,Not Rated,,,,
,,,,Sales,"$71,030 ",,,,,Average,,,,
,,,,Research and Development,"$52,750 ",,,,,Average,,,,
,,,,Support,"$85,670 ",,,,,Average,,,,
,,,,Product Management,,,,,,Good,,,,
,,,,Business Development,"$61,700 ",,,,,Average,,,,
,,,,Legal,"$66,140 ",,,,,Good,,,,
,,,,Marketing,"$51,860 ",,,,,Good,,,,
,,,,Human Resources,"$52,670 ",,,,,Average,,,,
,,,,Legal,"$61,210 ",,,,,Not Rated,,,,
,,,,Business Development,"$68,980 ",,,,,Average,,,,
,,,,Accounting,"$29,610 ",,,,,Average,,,,
,,,,Engineering,"$114,430 ",,,,,Good,,,,
,,,,Product Management,"$53,760 ",,,,,Average,,,,
,,,,Sales,"$91,310 ",,,,,Average,,,,
,,,,Services,"$117,840 ",,,,,Average,,,,
,,,,Product Management,"$31,830 ",,,,,Average,,,,
,,,,Legal,"$32,980 ",,,,,Not Rated,,,,
,,,,Engineering,"$47,360 ",,,,,Poor,,,,
,,,,Engineering,"$86,740 ",,,,,Very Good,,,,
,,,,Support,"$87,400 ",,,,,Average,,,,
,,,,Engineering,"$61,620 ",,,,,Poor,,,,
,,,,Business Development,"$75,090 ",,,,,Average,,,,
,,,,Accounting,"$78,020 ",,,,,Average,,,,
,,,,Services,"$88,690 ",,,,,Very Good,,,,
,,,,Research and Development,"$92,340 ",,,,,Good,,,,
,,,,NULL,"$99,480 ",,,,,Poor,,,,
,,,,Business Development,"$80,700 ",,,,,Poor,,,,
,,,,Business Development,"$58,830 ",,,,,Poor,,,,
,,,,Research and Development,"$32,140 ",,,,,Good,,,,
,,,,Accounting,"$102,520 ",,,,,Poor,,,,
,,,,Human Resources,"$79,590 ",,,,,Very Poor,,,,
,,,,Support,"$28,970 ",,,,,Very Good,,,,
,,,,Marketing,,,,,,Not Rated,,,,
,,,,Human Resources,"$92,700 ",,,,,Average,,,,
,,,,Accounting,"$36,150 ",,,,,Poor,,,,
,,,,Legal,"$61,210 ",,,,,Average,,,,
,,,,Accounting,"$52,960 ",,,,,Average,,,,
,,,,Training,"$84,170 ",,,,,Not Rated,,,,
,,,,Product Management,"$31,920 ",,,,,Average,,,,
,,,,Product Management,"$104,210 ",,,,,Very Good,,,,
,,,,Product Management,,,,,,Good,,,,
,,,,Product Management,"$38,440 ",,,,,Poor,,,,
,,,,Engineering,"$114,430 ",,,,,Very Good,,,,
,,,,Product Management,"$104,340 ",,,,,Poor,,,,
,,,,Marketing,"$40,750 ",,,,,Very Poor,,,,
,,,,Training,"$98,020 ",,,,,Very Good,,,,
,,,,Sales,"$96,620 ",,,,,Poor,,,,
,,,,Research and Development,"$40,400 ",,,,,Very Good,,,,
,,,,Product Management,"$81,220 ",,,,,Poor,,,,
,,,,Training,"$33,840 ",,,,,Not Rated,,,,
,,,,Research and Development,"$75,880 ",,,,,Average,,,,
,,,,Engineering,"$81,380 ",,,,,Not Rated,,,,
,,,,Research and Development,"$71,490 ",,,,,Not Rated,,,,
,,,,Product Management,"$91,930 ",,,,,Average,,,,
,,,,Engineering,"$107,790 ",,,,,Average,,,,
,,,,Services,,,,,,Very Good,,,,
,,,,Product Management,"$69,970 ",,,,,Average,,,,
,,,,Engineering,"$44,300 ",,,,,Poor,,,,
,,,,Accounting,"$114,180 ",,,,,Very Good,,,,
,,,,Human Resources,"$85,330 ",,,,,Average,,,,
,,,,NULL,"$65,130 ",,,,,Average,,,,
,,,,Sales,"$36,820 ",,,,,Good,,,,
,,,,Marketing,"$116,890 ",,,,,Average,,,,
